Time;Action
750725450.000000;26.000000
750725550.000000;25.000000
750725600.000000;26.000000
750726650.000000;25.000000
750727300.000000;26.000000
750727700.000000;25.000000
750727750.000000;26.000000
750727900.000000;25.000000
750728050.000000;26.000000
750730000.000000;25.000000
750730100.000000;26.000000
750731050.000000;25.000000
750731250.000000;26.000000
750731560.000000;25.000000
750731610.000000;26.000000
750741090.000000;25.000000
750741440.000000;26.000000
750743390.000000;25.000000
750743490.000000;26.000000
750760790.000000;33.000000
750795520.000000;25.000000
750795520.000000;17.000000
750795520.000000;19.000000
750795520.000000;21.000000
750796020.000000;26.000000
750800960.000000;25.000000
750801560.000000;18.000000
750801560.000000;20.000000
750801560.000000;22.000000
750802110.000000;26.000000
750803330.000000;23.000000
750803330.000000;36.000000
750803680.000000;24.000000
750804940.000000;25.000000
750805140.000000;26.000000
750805190.000000;25.000000
750805390.000000;26.000000
750805440.000000;25.000000
750805490.000000;26.000000
750805540.000000;25.000000
750805840.000000;26.000000
750806040.000000;25.000000
750806240.000000;26.000000
750807340.000000;25.000000
750807390.000000;26.000000
750807640.000000;25.000000
750807840.000000;26.000000
750808140.000000;25.000000
750808420.000000;26.000000
750808870.000000;25.000000
750808920.000000;26.000000
750809120.000000;25.000000
750809170.000000;26.000000
750810020.000000;25.000000
750810120.000000;26.000000
750812170.000000;25.000000
750812680.000000;26.000000
750880370.000000;33.000000
751038280.000000;25.000000
751038280.000000;17.000000
751038280.000000;19.000000
751038280.000000;21.000000
751038490.000000;26.000000
751038790.000000;25.000000
751040490.000000;26.000000
751041740.000000;23.000000
751042040.000000;24.000000
751042190.000000;23.000000
751042290.000000;24.000000
751042450.000000;23.000000
751042550.000000;24.000000
751042750.000000;23.000000
751042950.000000;24.000000
751043000.000000;23.000000
751043400.000000;24.000000
751044310.000000;18.000000
751044310.000000;20.000000
751044310.000000;22.000000
751045010.000000;27.000000
751045010.000000;30.000000
751045010.000000;36.000000
751047570.000000;28.000000
751075510.000000;27.000000
751076660.000000;28.000000
751079120.000000;25.000000
751079170.000000;26.000000
751079270.000000;25.000000
751080820.000000;26.000000
751081930.000000;25.000000
751082080.000000;26.000000
751082180.000000;25.000000
751082380.000000;26.000000
751082980.000000;25.000000
